                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76569,                0.90287,                   1.11,                0.75768,                 0.7252,                0.79202,                0.63925,                0.78591,                0.86408,                  1.111,              0.0096733,              0.0096733,              0.0096733
                     36,                0.75833,                0.89297,                 1.1028,                0.76282,                0.70481,                0.79284,                0.63571,                0.79558,                0.87557,                 1.1141,              0.0096634,              0.0096634,              0.0096634
                     37,                0.75848,                0.87236,                 1.1076,                0.72601,                0.76139,                0.79473,                0.64343,                0.79318,                0.86627,                 1.1248,              0.0096535,              0.0096535,              0.0096535
                     38,                0.75618,                 0.8641,                 1.1015,                0.77615,                0.74929,                0.81096,                0.65648,                0.78774,                0.83777,                  1.107,              0.0096436,              0.0096436,              0.0096436
                     39,                0.74792,                0.85847,                 1.0973,                0.76906,                0.74218,                 0.7977,                0.65025,                0.77254,                0.84801,                 1.0952,              0.0096337,              0.0096337,              0.0096337
                     40,                0.75234,                 0.8544,                 1.1063,                  0.769,                0.74584,                0.80822,                0.65478,                0.80188,                0.83234,                 1.1207,              0.0096238,              0.0096238,              0.0096238
                     41,                0.74137,                0.84642,                  1.093,                0.78303,                0.74406,                0.80934,                0.65136,                0.79873,                0.83119,                 1.1193,              0.0096139,              0.0096139,              0.0096139
                     42,                0.74116,                0.83528,                 1.0876,                0.74193,                0.77063,                0.80631,                0.65929,                0.77465,                0.83881,                    1.1,               0.009604,               0.009604,               0.009604
                     43,                0.74907,                0.83418,                 1.0977,                0.78695,                0.72674,                0.81729,                0.66939,                0.77452,                0.83365,                 1.0949,              0.0095941,              0.0095941,              0.0095941
                     44,                 0.7435,                0.82167,                 1.0919,                0.77685,                0.73273,                0.81265,                0.65929,                0.78511,                0.82715,                 1.1097,              0.0095842,              0.0095842,              0.0095842
                     45,                0.73796,                0.80916,                 1.0871,                0.78203,                0.72485,                0.80975,                0.66145,                0.77743,                 0.8371,                 1.1002,              0.0095743,              0.0095743,              0.0095743
                     46,                0.73599,                0.81643,                 1.0947,                0.77302,                0.74403,                0.80858,                0.66024,                0.77592,                0.84153,                 1.1006,              0.0095644,              0.0095644,              0.0095644
                     47,                0.72606,                 0.7904,                 1.0799,                0.76544,                0.73043,                0.80435,                 0.6544,                0.77948,                 0.8341,                 1.1015,              0.0095545,              0.0095545,              0.0095545
                     48,                0.72527,                0.78804,                 1.0791,                0.78968,                0.74671,                 0.8136,                0.66587,                 0.7784,                0.82123,                 1.1029,              0.0095446,              0.0095446,              0.0095446
                     49,                0.71149,                0.78251,                 1.0748,                0.78617,                0.74864,                0.81611,                0.66783,                0.77243,                0.82779,                 1.0994,              0.0095347,              0.0095347,              0.0095347
                     50,                0.71991,                0.76552,                 1.0739,                0.79061,                0.75289,                0.82271,                 0.6743,                0.77171,                0.81817,                 1.0884,              0.0095248,              0.0095248,              0.0095248
                     51,                0.71911,                0.77244,                 1.0761,                0.77332,                0.76287,                0.82157,                0.66973,                0.78635,                0.82155,                 1.1061,              0.0095149,              0.0095149,              0.0095149
                     52,                0.71032,                0.76099,                 1.0711,                0.76261,                0.76303,                0.82095,                0.67397,                0.76581,                0.79708,                 1.0894,               0.009505,               0.009505,               0.009505
                     53,                0.70755,                0.75918,                 1.0709,                0.76395,                0.75714,                0.81587,                0.66828,                0.77445,                0.81031,                 1.0998,              0.0094951,              0.0094951,              0.0094951
                     54,                0.70686,                0.75397,                 1.0748,                0.76378,                 0.7895,                0.82824,                0.67316,                0.78279,                0.79499,                 1.1119,              0.0094852,              0.0094852,              0.0094852
                     55,                0.70206,                0.74264,                 1.0654,                0.78434,                0.75218,                0.82335,                0.67505,                0.77808,                0.82986,                 1.1049,              0.0094753,              0.0094753,              0.0094753
                     56,                0.70139,                0.74327,                 1.0716,                0.78268,                0.74482,                0.81661,                0.67168,                0.76863,                0.80576,                  1.088,              0.0094654,              0.0094654,              0.0094654
                     57,                0.69672,                0.73419,                 1.0652,                 0.7869,                0.77129,                0.82866,                 0.6845,                0.77196,                0.79174,                 1.1022,              0.0094555,              0.0094555,              0.0094555
                     58,                0.69804,                0.72723,                  1.065,                0.79707,                0.74381,                0.82133,                0.66775,                0.77926,                0.80658,                 1.1069,              0.0094456,              0.0094456,              0.0094456
                     59,                0.68927,                0.72744,                 1.0594,                0.80253,                0.74867,                0.82808,                0.67842,                0.77045,                0.79412,                 1.0943,              0.0094357,              0.0094357,              0.0094357
                     60,                0.68917,                0.70349,                 1.0593,                0.77545,                0.77229,                0.82697,                0.68002,                 0.7662,                0.79771,                 1.0959,              0.0094258,              0.0094258,              0.0094258
                     61,                0.68536,                0.70059,                  1.053,                 0.7981,                 0.7573,                0.82692,                0.67763,                0.77251,                0.78764,                 1.1031,              0.0094159,              0.0094159,              0.0094159
                     62,                 0.6818,                0.69929,                 1.0604,                0.76326,                 0.7768,                 0.8253,                0.67677,                0.78168,                0.80321,                 1.1077,               0.009406,               0.009406,               0.009406
                     63,                 0.6794,                 0.7018,                 1.0576,                0.76862,                0.76201,                0.81771,                 0.6679,                0.77762,                0.82605,                 1.1128,              0.0093961,              0.0093961,              0.0093961
                     64,                0.68349,                0.68431,                  1.056,                0.76692,                0.75476,                 0.8177,                0.67549,                0.76132,                 0.8081,                 1.0938,              0.0093862,              0.0093862,              0.0093862
                     65,                0.68345,                0.69126,                 1.0548,                0.78862,                0.75128,                0.82229,                0.67331,                0.77479,                0.80873,                 1.1039,              0.0093763,              0.0093763,              0.0093763
                     66,                0.67727,                  0.678,                 1.0483,                0.78873,                 0.7454,                 0.8214,                0.67399,                0.76664,                0.79361,                 1.0881,              0.0093664,              0.0093664,              0.0093664
                     67,                0.67671,                 0.6736,                 1.0509,                0.79105,                0.76868,                 0.8232,                0.67518,                0.77151,                0.80594,                 1.1024,              0.0093565,              0.0093565,              0.0093565
