                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67126,                 1.0915,                 1.2242,                0.37632,                0.48806,                0.42363,                0.32288,                0.85964,                 1.6996,                 1.3093,              0.0096733,              0.0096733,              0.0096733
                     36,                0.66728,                 1.0892,                 1.2228,                 0.4586,                0.55233,                0.50628,                0.39581,                0.83095,                 1.3984,                 1.2831,              0.0096634,              0.0096634,              0.0096634
                     37,                0.66399,                 1.0875,                 1.2139,                0.45985,                0.53752,                0.49139,                 0.3815,                0.83288,                 1.4116,                 1.2693,              0.0096535,              0.0096535,              0.0096535
                     38,                0.65287,                 1.0495,                 1.2054,                 0.3482,                0.52056,                0.40887,                0.31744,                0.84164,                 1.7404,                 1.3048,              0.0096436,              0.0096436,              0.0096436
                     39,                0.65806,                 1.0579,                 1.2139,                0.48336,                 0.5898,                0.53853,                0.42034,                0.82191,                 1.3246,                 1.2671,              0.0096337,              0.0096337,              0.0096337
                     40,                0.65078,                 1.0447,                 1.2072,                0.46491,                0.57924,                0.52146,                0.40734,                0.83318,                 1.3378,                 1.2745,              0.0096238,              0.0096238,              0.0096238
                     41,                0.64905,                 1.0364,                 1.2023,                0.49491,                0.59902,                0.55441,                 0.4343,                0.81843,                 1.3063,                 1.2588,              0.0096139,              0.0096139,              0.0096139
                     42,                0.64369,                 1.0236,                 1.1971,                0.37699,                0.54796,                0.44755,                0.34694,                0.83135,                 1.6177,                   1.29,               0.009604,               0.009604,               0.009604
                     43,                0.64959,                 1.0288,                    1.2,                0.36868,                0.55832,                0.42207,                0.32532,                0.83272,                 1.6235,                   1.29,              0.0095941,              0.0095941,              0.0095941
                     44,                0.63697,                 1.0088,                 1.1923,                0.47043,                0.56234,                0.52788,                0.41757,                0.81059,                 1.3627,                 1.2556,              0.0095842,              0.0095842,              0.0095842
                     45,                0.63003,                 0.9977,                 1.1879,                0.40796,                0.54221,                 0.4802,                0.37626,                0.83187,                 1.5579,                 1.2937,              0.0095743,              0.0095743,              0.0095743
                     46,                0.62759,                0.98601,                 1.1812,                0.42189,                 0.5601,                0.48407,                0.38169,                0.81978,                 1.5385,                 1.2765,              0.0095644,              0.0095644,              0.0095644
                     47,                0.62962,                  0.999,                 1.1846,                0.51443,                 0.5854,                0.57092,                0.45131,                0.81544,                 1.2346,                 1.2527,              0.0095545,              0.0095545,              0.0095545
                     48,                0.62449,                0.98434,                 1.1809,                0.55046,                0.60409,                0.60213,                 0.4744,                0.80767,                 1.2113,                 1.2465,              0.0095446,              0.0095446,              0.0095446
                     49,                0.63446,                0.98419,                 1.1865,                0.45731,                0.58194,                0.52627,                0.41418,                0.81319,                 1.3921,                 1.2678,              0.0095347,              0.0095347,              0.0095347
                     50,                0.61515,                0.95916,                 1.1717,                0.49556,                0.55879,                0.54296,                0.43338,                0.82002,                 1.3823,                 1.2707,              0.0095248,              0.0095248,              0.0095248
                     51,                0.60815,                0.95204,                 1.1668,                0.48632,                0.52993,                0.52065,                0.41155,                0.81345,                 1.4391,                 1.2612,              0.0095149,              0.0095149,              0.0095149
                     52,                0.61402,                0.96446,                 1.1691,                0.51354,                0.58689,                0.57122,                0.45564,                0.81197,                 1.2727,                  1.249,               0.009505,               0.009505,               0.009505
                     53,                0.61866,                0.97317,                  1.179,                 0.4885,                0.57317,                0.53027,                0.41752,                 0.8029,                 1.3628,                 1.2554,              0.0094951,              0.0094951,              0.0094951
                     54,                0.61023,                0.94523,                 1.1677,                0.53726,                0.60026,                0.58683,                0.46621,                0.80785,                 1.2521,                 1.2535,              0.0094852,              0.0094852,              0.0094852
                     55,                0.60572,                  0.948,                  1.165,                 0.5299,                0.59968,                0.58028,                0.46355,                0.80085,                 1.2161,                 1.2424,              0.0094753,              0.0094753,              0.0094753
                     56,                0.60332,                0.93715,                  1.159,                0.55877,                0.59645,                0.61544,                0.49447,                0.79486,                 1.2042,                 1.2329,              0.0094654,              0.0094654,              0.0094654
                     57,                0.60307,                0.92447,                 1.1604,                0.52465,                 0.5818,                0.57776,                0.46219,                0.80105,                 1.2855,                 1.2456,              0.0094555,              0.0094555,              0.0094555
                     58,                0.60368,                0.93108,                 1.1623,                0.59537,                0.62061,                0.64369,                0.51721,                0.78918,                  1.112,                 1.2276,              0.0094456,              0.0094456,              0.0094456
                     59,                0.60979,                0.93817,                 1.1686,                0.44407,                 0.5822,                0.51312,                0.40816,                0.80877,                 1.4537,                 1.2556,              0.0094357,              0.0094357,              0.0094357
                     60,                0.59074,                0.90119,                 1.1507,                0.56197,                 0.6357,                0.62907,                0.50466,                0.78576,                 1.1625,                 1.2174,              0.0094258,              0.0094258,              0.0094258
                     61,                0.59876,                0.90898,                 1.1553,                0.52945,                0.63231,                0.60518,                0.48772,                0.78943,                 1.2049,                 1.2304,              0.0094159,              0.0094159,              0.0094159
                     62,                0.58267,                0.89189,                 1.1439,                0.54219,                0.62116,                0.60031,                0.48153,                0.80012,                 1.2042,                 1.2381,               0.009406,               0.009406,               0.009406
                     63,                 0.5945,                0.90879,                 1.1522,                0.59327,                0.62457,                0.63382,                0.50885,                0.79497,                 1.1329,                 1.2355,              0.0093961,              0.0093961,              0.0093961
                     64,                 0.5912,                0.89661,                 1.1523,                0.54043,                0.61548,                0.60668,                0.48512,                0.79776,                 1.2148,                 1.2396,              0.0093862,              0.0093862,              0.0093862
                     65,                0.59567,                0.89778,                  1.155,                0.59847,                0.64969,                0.66299,                0.53385,                 0.7858,                 1.0839,                 1.2242,              0.0093763,              0.0093763,              0.0093763
                     66,                0.58394,                0.88556,                 1.1456,                0.60927,                0.64599,                0.66406,                0.53369,                0.78427,                 1.0866,                 1.2231,              0.0093664,              0.0093664,              0.0093664
                     67,                0.59142,                0.89768,                 1.1559,                0.62615,                0.63642,                  0.679,                0.54973,                0.77524,                 1.0517,                 1.2195,              0.0093565,              0.0093565,              0.0093565
                     68,                0.58453,                0.87693,                 1.1448,                0.59852,                0.63701,                0.64581,                0.52017,                 0.7842,                 1.1101,                 1.2235,              0.0093466,              0.0093466,              0.0093466
                     69,                0.58249,                0.87531,                 1.1439,                0.61952,                0.62206,                  0.644,                0.51899,                0.78256,                 1.1015,                  1.225,              0.0093367,              0.0093367,              0.0093367
                     70,                  0.576,                0.86756,                 1.1353,                0.52145,                0.62004,                0.59549,                0.48039,                0.78035,                 1.2244,                 1.2302,              0.0093268,              0.0093268,              0.0093268
                     71,                0.58299,                0.87047,                 1.1411,                0.54062,                0.66776,                 0.6379,                0.51417,                0.78082,                 1.1209,                 1.2208,              0.0093169,              0.0093169,              0.0093169
                     72,                0.57127,                0.85808,                 1.1323,                0.56859,                0.62212,                0.61262,                0.49346,                0.78391,                  1.158,                 1.2328,               0.009307,               0.009307,               0.009307
                     73,                0.57251,                0.85208,                 1.1333,                0.58541,                0.61952,                0.61698,                0.49412,                0.78136,                 1.1532,                 1.2265,              0.0092971,              0.0092971,              0.0092971
                     74,                0.56656,                0.85835,                 1.1316,                0.57946,                0.63001,                0.62431,                0.50473,                0.77697,                  1.124,                 1.2209,              0.0092872,              0.0092872,              0.0092872
                     75,                0.56577,                 0.8566,                 1.1299,                0.63015,                0.63541,                0.66057,                0.53402,                0.77571,                 1.0489,                 1.2144,              0.0092773,              0.0092773,              0.0092773
                     76,                0.57098,                 0.8448,                 1.1339,                0.57178,                0.64252,                0.62819,                0.50687,                0.78497,                  1.124,                 1.2259,              0.0092674,              0.0092674,              0.0092674
                     77,                0.56597,                0.83903,                 1.1283,                0.59406,                 0.6336,                0.64447,                0.52135,                0.78095,                 1.1066,                 1.2215,              0.0092575,              0.0092575,              0.0092575
                     78,                0.56107,                0.83646,                 1.1295,                0.57426,                0.64376,                0.63293,                0.51221,                0.77509,                  1.114,                  1.219,              0.0092476,              0.0092476,              0.0092476
                     79,                0.56792,                0.84643,                 1.1305,                0.61731,                 0.6284,                0.65961,                0.53301,                 0.7755,                 1.0719,                 1.2156,              0.0092377,              0.0092377,              0.0092377
                     80,                 0.5662,                0.83744,                 1.1293,                0.60769,                0.66413,                 0.6786,                0.55283,                0.76743,                 1.0353,                 1.2075,              0.0092278,              0.0092278,              0.0092278
                     81,                0.56088,                0.83389,                 1.1231,                0.59986,                0.64603,                0.65161,                0.53106,                0.76723,                 1.0737,                 1.2075,              0.0092179,              0.0092179,              0.0092179
                     82,                0.56009,                0.82824,                 1.1249,                0.58832,                0.64033,                  0.636,                0.51671,                0.77497,                 1.1242,                 1.2128,               0.009208,               0.009208,               0.009208
                     83,                0.55578,                0.81484,                 1.1235,                0.58638,                0.66153,                0.65593,                0.53402,                0.77467,                 1.0786,                 1.2135,              0.0091981,              0.0091981,              0.0091981
                     84,                0.55672,                0.82248,                 1.1207,                0.59781,                0.66191,                0.65597,                0.53297,                0.76612,                 1.0718,                 1.2035,              0.0091882,              0.0091882,              0.0091882
                     85,                0.55508,                0.81396,                 1.1188,                 0.6076,                0.63205,                0.64687,                0.52643,                0.76706,                 1.1066,                  1.211,              0.0091783,              0.0091783,              0.0091783
                     86,                 0.5589,                0.82326,                 1.1225,                0.61416,                0.64908,                 0.6511,                0.52982,                0.76923,                 1.0701,                 1.2167,              0.0091684,              0.0091684,              0.0091684
                     87,                    inf,                 0.8075,                 1.1156,                0.61858,                0.65491,                0.65619,                0.53509,                0.76007,                 1.0472,                 1.2004,              0.0091585,              0.0091585,              0.0091585
                     88,                0.55247,                0.81141,                 1.1146,                0.61982,                0.66571,                0.67794,                0.55624,                0.75736,                 1.0241,                 1.1934,              0.0091486,              0.0091486,              0.0091486
                     89,                0.55417,                0.80483,                 1.1167,                0.58931,                0.66783,                0.64699,                0.52979,                0.76034,                 1.0815,                 1.1955,              0.0091387,              0.0091387,              0.0091387
                     90,                0.54077,                0.80059,                 1.1117,                0.63318,                0.66096,                0.69221,                  0.568,                0.76143,                 1.0149,                 1.1981,              0.0091288,              0.0091288,              0.0091288
                     91,                0.54579,                0.79208,                  1.113,                0.63633,                0.66731,                0.68439,                 0.5611,                 0.7629,                 1.0181,                 1.2001,              0.0091189,              0.0091189,              0.0091189
                     92,                0.55176,                0.80269,                 1.1169,                0.64504,                0.67361,                0.69596,                0.56715,                0.76442,                 1.0035,                 1.2058,               0.009109,               0.009109,               0.009109
                     93,                0.54581,                0.79837,                 1.1083,                0.63506,                0.65728,                0.68657,                0.56097,                 0.7628,                 1.0176,                 1.2015,              0.0090991,              0.0090991,              0.0090991
                     94,                0.54733,                0.79649,                 1.1111,                0.62595,                0.67115,                0.67978,                0.55601,                0.76292,                 1.0224,                 1.2001,              0.0090892,              0.0090892,              0.0090892
                     95,                0.53957,                0.78153,                  1.106,                0.60466,                0.66446,                0.67022,                0.54881,                0.75854,                 1.0486,                 1.1951,              0.0090793,              0.0090793,              0.0090793
                     96,                0.54457,                0.78718,                 1.1111,                0.63784,                0.67889,                0.71142,                0.58397,                0.75847,                0.98639,                 1.1912,              0.0090694,              0.0090694,              0.0090694
                     97,                0.55171,                0.78833,                 1.1126,                0.63655,                0.65027,                0.69332,                0.56866,                0.75999,                 1.0235,                  1.196,              0.0090595,              0.0090595,              0.0090595
                     98,                0.54485,                 0.7757,                 1.1093,                0.65252,                0.62881,                0.68994,                0.56535,                0.75788,                 1.0327,                 1.1996,              0.0090496,              0.0090496,              0.0090496
                     99,                0.54261,                0.78499,                 1.1113,                0.64395,                0.67978,                0.71131,                0.58535,                0.75355,                0.99327,                 1.1926,              0.0090397,              0.0090397,              0.0090397
                    100,                0.54443,                0.78481,                 1.1137,                0.64264,                0.68273,                0.70387,                0.57724,                0.75434,                 0.9883,                  1.196,              0.0090298,              0.0090298,              0.0090298
                    101,                0.54136,                0.78199,                 1.1063,                0.63444,                0.67169,                0.69221,                0.56844,                0.76098,                 1.0031,                  1.198,              0.0090199,              0.0090199,              0.0090199
                    102,                 0.5418,                0.77315,                 1.1067,                0.67019,                0.67061,                0.71607,                0.58806,                0.75536,                 0.9518,                  1.191,                0.00901,                0.00901,                0.00901
                    103,                 0.5388,                0.77095,                 1.1024,                0.64523,                0.66484,                0.68805,                0.56333,                0.75812,                0.98992,                 1.1985,              0.0090001,              0.0090001,              0.0090001
                    104,                0.53666,                0.76887,                 1.1038,                0.64886,                0.65856,                0.68341,                0.56099,                0.75389,                0.99791,                 1.1943,              0.0089902,              0.0089902,              0.0089902
                    105,                0.53151,                0.76294,                 1.0978,                0.64479,                0.68234,                0.68477,                0.56264,                0.75524,                 1.0012,                 1.1943,              0.0089803,              0.0089803,              0.0089803
                    106,                0.53347,                0.76321,                 1.1022,                0.62465,                    0.7,                0.69515,                0.57227,                0.75509,                0.98715,                 1.1931,              0.0089704,              0.0089704,              0.0089704
                    107,                 0.5361,                0.75726,                 1.1042,                0.60841,                0.71858,                0.69549,                0.57158,                0.75367,                0.99697,                  1.192,              0.0089605,              0.0089605,              0.0089605
                    108,                0.52961,                0.75651,                  1.098,                0.64275,                0.67506,                0.69337,                0.57078,                 0.7525,                0.99484,                 1.1898,              0.0089506,              0.0089506,              0.0089506
                    109,                0.52414,                0.74983,                 1.0955,                0.64047,                0.68081,                0.69929,                0.57754,                0.75297,                0.99379,                 1.1931,              0.0089407,              0.0089407,              0.0089407
                    110,                0.53155,                0.75558,                 1.0992,                0.62992,                0.69988,                0.71292,                0.58783,                0.75612,                0.97217,                  1.195,              0.0089308,              0.0089308,              0.0089308
                    111,                 0.5278,                0.74143,                  1.096,                0.62223,                0.71289,                0.70303,                0.57976,                0.75826,                   0.98,                 1.1971,              0.0089209,              0.0089209,              0.0089209
                    112,                0.53332,                0.76003,                 1.0994,                0.64035,                0.71143,                0.71044,                 0.5854,                0.75346,                0.96916,                 1.1901,               0.008911,               0.008911,               0.008911
                    113,                0.53148,                0.75021,                 1.1009,                0.64558,                0.69395,                0.71271,                0.58803,                0.75142,                0.97783,                 1.1865,              0.0089011,              0.0089011,              0.0089011
                    114,                0.52413,                0.74069,                 1.0979,                0.65444,                0.69248,                0.71143,                0.58715,                0.74841,                0.97291,                 1.1822,              0.0088912,              0.0088912,              0.0088912
                    115,                0.52733,                0.75487,                 1.0937,                0.64967,                0.66881,                  0.694,                0.57337,                0.74809,                0.99664,                 1.1837,              0.0088813,              0.0088813,              0.0088813
                    116,                0.52006,                0.73971,                 1.0883,                0.64684,                0.67951,                0.69254,                0.57186,                0.74849,                 1.0008,                 1.1886,              0.0088714,              0.0088714,              0.0088714
                    117,                0.53243,                0.75385,                 1.1022,                0.65289,                0.68702,                0.70438,                0.58285,                0.74734,                0.97731,                 1.1888,              0.0088615,              0.0088615,              0.0088615
                    118,                0.52118,                0.73493,                 1.0892,                0.64058,                 0.6947,                 0.6968,                0.57672,                0.74674,                0.98881,                 1.1886,              0.0088516,              0.0088516,              0.0088516
                    119,                0.52933,                0.74026,                 1.0944,                0.65822,                0.68513,                0.70909,                 0.5874,                0.74651,                0.97535,                 1.1894,              0.0088417,              0.0088417,              0.0088417
                    120,                 0.5238,                0.74645,                  1.096,                0.65321,                0.67665,                0.70738,                0.58476,                0.74828,                0.98584,                 1.1931,              0.0088318,              0.0088318,              0.0088318
                    121,                0.51367,                0.73464,                 1.0844,                0.64688,                0.69561,                0.71333,                0.59006,                 0.7504,                0.97815,                 1.1965,              0.0088219,              0.0088219,              0.0088219
                    122,                0.52259,                0.74384,                 1.0901,                0.65488,                 0.6888,                0.70956,                0.58672,                0.74691,                0.98146,                 1.1918,               0.008812,               0.008812,               0.008812
                    123,                0.51499,                0.73215,                 1.0828,                0.64163,                0.69854,                0.70351,                0.57963,                0.74666,                0.99119,                 1.1918,              0.0088021,              0.0088021,              0.0088021
                    124,                0.52348,                 0.7331,                 1.0934,                0.64977,                0.69491,                0.70584,                0.58157,                0.74787,                0.98614,                 1.1925,              0.0087922,              0.0087922,              0.0087922
                    125,                 0.5154,                0.72647,                 1.0877,                0.67606,                0.67845,                0.70997,                0.58529,                0.74879,                0.97656,                 1.1927,              0.0087823,              0.0087823,              0.0087823
                    126,                0.51325,                0.72431,                 1.0863,                  0.673,                0.67902,                0.71305,                0.58818,                0.75031,                0.96831,                 1.1953,              0.0087724,              0.0087724,              0.0087724
                    127,                0.51935,                0.73186,                 1.0891,                0.66686,                0.69026,                0.71838,                0.59385,                0.75109,                0.96473,                 1.1939,              0.0087625,              0.0087625,              0.0087625
                    128,                0.51041,                0.71649,                 1.0851,                0.69035,                0.67732,                0.72436,                0.59877,                0.75164,                0.95589,                 1.1944,              0.0087526,              0.0087526,              0.0087526
